exp_id,row_index,source,smoothing_iters,decimate_target_reduction,seed,jnd_threshold,n_tri_nominal,status,out_points,out_cells,point_ratio,mean_abs_error,p95_abs_error,max_abs_error,frac_vertices_over_jnd,mean_nn_distance,p95_nn_distance,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a4_color_transfer,22,icosphere,5,0.7,1,8.0,40000,ok,6002,12000,0.3001,0.5012,0.9593,1.19,0.0,0.000189,0.000425,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,23,icosphere,5,0.7,2,8.0,40000,ok,6002,12000,0.3001,0.5012,0.9593,1.19,0.0,0.000189,0.000425,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,24,icosphere,15,,0,8.0,40000,ok,20002,40000,1.0,0.6465,1.5421,3.1062,0.0,0.001866,0.003875,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,25,icosphere,15,,1,8.0,40000,ok,20002,40000,1.0,0.6465,1.5421,3.1062,0.0,0.001866,0.003875,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,26,icosphere,15,,2,8.0,40000,ok,20002,40000,1.0,0.6465,1.5421,3.1062,0.0,0.001866,0.003875,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,27,icosphere,15,0.3,0,8.0,40000,ok,14002,28000,0.7,0.6461,1.5385,3.1062,0.0,0.001845,0.0039,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,28,icosphere,15,0.3,1,8.0,40000,ok,14002,28000,0.7,0.6461,1.5385,3.1062,0.0,0.001845,0.0039,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,29,icosphere,15,0.3,2,8.0,40000,ok,14002,28000,0.7,0.6461,1.5385,3.1062,0.0,0.001845,0.0039,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,30,icosphere,15,0.5,0,8.0,40000,ok,10002,20000,0.5,0.6464,1.5298,3.1062,0.0,0.001825,0.003957,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,31,icosphere,15,0.5,1,8.0,40000,ok,10002,20000,0.5,0.6464,1.5298,3.1062,0.0,0.001825,0.003957,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,32,icosphere,15,0.5,2,8.0,40000,ok,10002,20000,0.5,0.6464,1.5298,3.1062,0.0,0.001825,0.003957,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,33,icosphere,15,0.7,0,8.0,40000,ok,6002,12000,0.3001,0.638,1.5067,2.9361,0.0,0.001772,0.00395,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,34,icosphere,15,0.7,1,8.0,40000,ok,6002,12000,0.3001,0.638,1.5067,2.9361,0.0,0.001772,0.00395,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,35,icosphere,15,0.7,2,8.0,40000,ok,6002,12000,0.3001,0.638,1.5067,2.9361,0.0,0.001772,0.00395,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,36,icosphere,30,,0,8.0,40000,ok,20002,40000,1.0,0.7438,1.8076,3.6646,0.0,0.002504,0.004789,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,37,icosphere,30,,1,8.0,40000,ok,20002,40000,1.0,0.7438,1.8076,3.6646,0.0,0.002504,0.004789,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,38,icosphere,30,,2,8.0,40000,ok,20002,40000,1.0,0.7438,1.8076,3.6646,0.0,0.002504,0.004789,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,39,icosphere,30,0.3,0,8.0,40000,ok,14002,28000,0.7,0.7472,1.8121,3.6646,0.0,0.002531,0.004808,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,40,icosphere,30,0.3,1,8.0,40000,ok,14002,28000,0.7,0.7472,1.8121,3.6646,0.0,0.002531,0.004808,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,41,icosphere,30,0.3,2,8.0,40000,ok,14002,28000,0.7,0.7472,1.8121,3.6646,0.0,0.002531,0.004808,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,42,icosphere,30,0.5,0,8.0,40000,ok,10002,20000,0.5,0.7489,1.8138,3.5564,0.0,0.002526,0.004785,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,43,icosphere,30,0.5,1,8.0,40000,ok,10002,20000,0.5,0.7489,1.8138,3.5564,0.0,0.002526,0.004785,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,44,icosphere,30,0.5,2,8.0,40000,ok,10002,20000,0.5,0.7489,1.8138,3.5564,0.0,0.002526,0.004785,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,45,icosphere,30,0.7,0,8.0,40000,ok,6002,12000,0.3001,0.7427,1.8045,3.4967,0.0,0.002497,0.00476,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,46,icosphere,30,0.7,1,8.0,40000,ok,6002,12000,0.3001,0.7427,1.8045,3.4967,0.0,0.002497,0.00476,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,47,icosphere,30,0.7,2,8.0,40000,ok,6002,12000,0.3001,0.7427,1.8045,3.4967,0.0,0.002497,0.00476,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
