exp_id,row_index,configuration,n_tri,n_components_nominal,repeat,seed,stage,seconds,pct_of_stage_total,stage_peak_rss_mb,stage_rss_delta_mb,wall_total_seconds,stage_total_seconds,unaccounted_seconds,peak_rss_mb,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a2_stage_profile,37,many_components,96000,1000,2,0,smooth,0.1337,1.34,2019.2,0.0,9.9888,9.9847,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,38,many_components,96000,1000,2,0,finalize,0.1557,1.56,2019.2,0.0,9.9888,9.9847,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,39,many_components,96000,1000,2,0,watertight_check,0.0946,0.95,2019.2,0.0,9.9888,9.9847,0.0041,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,40,many_components,96000,1000,3,0,component_filter,9.3526,95.66,2019.2,0.0,9.7818,9.7771,0.0047,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,41,many_components,96000,1000,3,0,fill_holes,0.0355,0.36,2019.2,0.0,9.7818,9.7771,0.0047,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,42,many_components,96000,1000,3,0,smooth,0.1203,1.23,2019.2,0.0,9.7818,9.7771,0.0047,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,43,many_components,96000,1000,3,0,finalize,0.1616,1.65,2019.2,0.0,9.7818,9.7771,0.0047,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,44,many_components,96000,1000,3,0,watertight_check,0.1071,1.1,2019.2,0.0,9.7818,9.7771,0.0047,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,45,many_components,96000,1000,4,0,component_filter,9.4267,96.06,2019.2,0.0,9.8176,9.8133,0.0043,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,46,many_components,96000,1000,4,0,fill_holes,0.0272,0.28,2019.2,0.0,9.8176,9.8133,0.0043,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,47,many_components,96000,1000,4,0,smooth,0.1146,1.17,2019.2,0.0,9.8176,9.8133,0.0043,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,48,many_components,96000,1000,4,0,finalize,0.158,1.61,2019.2,0.0,9.8176,9.8133,0.0043,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
a2_stage_profile,49,many_components,96000,1000,4,0,watertight_check,0.0868,0.88,2019.2,0.0,9.8176,9.8133,0.0043,2019.2,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,1.26.4,1.17.1,4.12.2,0.48.4,5.0.0,2.11.0+cu128,50414c3,10,False,,"(9, 6, 2)",2026-08-29T17:03:50+00:00
