exp_id,row_index,part,base,mode,noise_sigma,n_holes,n_fragments_injected,seed,tau,distance_unit,sample_points,chamfer_noise_floor,smoothing_iters,components_in,in_cells,boundary_edges_in,non_manifold_edges_in,before_chamfer_l1,before_hausdorff_95,before_precision,before_recall,before_f_score,before_normal_consistency,holefill_guard_fires,filtered_components,status,out_cells,components_out,boundary_edges_out,non_manifold_edges_out,is_watertight_out,after_chamfer_l1,after_hausdorff_95,after_precision,after_recall,after_f_score,after_normal_consistency,chamfer_delta,chamfer_improved,normal_consistency_delta,fragments_removed,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc,smoother,volume_ratio_vs_clean
a3_refine_quality,830,refinement,pointmap_sheet,object,0.01,5,0,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19900,464,0,0.004593,0.014833,0.8236,0.9986,0.9027,0.53219,True,1,ok,19900,1,464,0,False,0.003527,0.009364,0.9615,0.9972,0.979,0.715,-0.001066,True,0.18281,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,831,refinement,pointmap_sheet,room,0.01,5,0,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19900,464,0,0.004593,0.014833,0.8236,0.9986,0.9027,0.53219,True,1,ok,19900,1,464,0,False,0.004601,0.014834,0.8244,0.9985,0.9031,0.53147,8e-06,False,-0.00072,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,832,refinement,pointmap_sheet,object,0.01,5,0,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19900,458,0,0.004641,0.014753,0.8175,0.9962,0.898,0.53947,True,1,ok,19900,1,458,0,False,0.003522,0.009416,0.9605,0.9969,0.9784,0.71102,-0.001119,True,0.17155,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,833,refinement,pointmap_sheet,room,0.01,5,0,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19900,458,0,0.004641,0.014753,0.8175,0.9962,0.898,0.53947,True,1,ok,19900,1,458,0,False,0.004631,0.014836,0.8182,0.996,0.8984,0.53887,-1e-05,True,-0.0006,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,834,refinement,pointmap_sheet,object,0.01,5,5,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20300,458,0,0.005556,0.015275,0.8135,0.9982,0.8964,0.53061,False,6,ok,20550,6,206,3,False,0.007649,0.010545,0.9426,0.9988,0.9699,0.70282,0.002093,False,0.17221,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,835,refinement,pointmap_sheet,room,0.01,5,5,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20300,458,0,0.005556,0.015275,0.8135,0.9982,0.8964,0.53061,True,1,ok,19900,1,458,0,False,0.004654,0.015015,0.8174,0.9986,0.8989,0.52979,-0.000902,True,-0.00082,5,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,836,refinement,pointmap_sheet,object,0.01,5,5,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20300,464,0,0.005175,0.015252,0.8181,0.9988,0.8995,0.5279,False,6,ok,20332,6,431,1,False,0.006234,0.010969,0.9378,0.9978,0.9669,0.70793,0.001059,False,0.18003,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,837,refinement,pointmap_sheet,room,0.01,5,5,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20300,464,0,0.005175,0.015252,0.8181,0.9988,0.8995,0.5279,True,1,ok,19900,1,464,0,False,0.004601,0.014834,0.8244,0.9985,0.9031,0.53147,-0.000574,True,0.00357,5,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,838,refinement,pointmap_sheet,object,0.01,5,5,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20300,458,0,0.005688,0.015236,0.813,0.9962,0.8953,0.53627,False,6,ok,20551,6,207,0,False,0.007621,0.010422,0.9443,0.9969,0.9699,0.71063,0.001933,False,0.17436,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,839,refinement,pointmap_sheet,room,0.01,5,5,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,6,20300,458,0,0.005688,0.015236,0.813,0.9962,0.8953,0.53627,True,1,ok,19900,1,458,0,False,0.004631,0.014836,0.8182,0.996,0.8984,0.53887,-0.001057,True,0.0026,5,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
